estado,estacion,antena,latitud,longitud,altitud,fecha,dir_rafaga,dir_viento,vel_rafaga,vel_viento,temperatura,humedad,presion_barometrica,precipitacion,radiacion_solar,rh
MC,LCARDENAS,    SEMAR,0.235755973620043,0.36990631959104203,2.4160413548966605e-07,11/05/2019,0.697221126549297,0.6016707427813771,0.45652331437266797,0.362250425630707,0.6183361931246669,0.8795089274957231,0.9896360797109928,0.5,0.46644556802201503,Balsas
MC,LCARDENAS,    SEMAR,0.235755973620043,0.36990631959104203,2.4160413548966605e-07,19/05/2019,0.699998888895062,0.721447234277246,0.684775913916162,0.612211731930042,0.6331282172652509,0.85541312257536,0.989602485700234,0.5,0.46644556802201503,Balsas
MC,LCARDENAS,    SEMAR,0.235755973620043,0.36990631959104203,2.4160413548966605e-07,25/05/2019,0.6888878395120029,0.693592236254951,0.527172928517083,0.363798173657329,0.668629075202651,0.9036047324160872,0.989703267732509,0.5,0.46644556802201503,Balsas
MC,LCARDENAS,    SEMAR,0.235755973620043,0.36990631959104203,2.4160413548966605e-07,27/05/2019,0.755554135810357,0.7075197352660991,0.5543458570341651,0.568874787184646,0.7011715283119341,0.8795089274957231,0.9898040497647841,0.5,0.46644556802201503,Balsas
MC,LCARDENAS,    SEMAR,0.235755973620043,0.36990631959104203,2.4160413548966605e-07,29/05/2019,0.7444430864272981,0.721447234277246,0.5670265570088039,0.8018108651911471,0.6863795041713511,0.9517963422568132,0.989451312651822,0.5,0.46644556802201503,Balsas
MC,LCARDENAS,    SEMAR,0.235755973620043,0.36990631959104203,2.4160413548966605e-07,30/05/2019,0.7166654629696501,0.727018233881705,0.6050686569327199,0.7484135582727129,0.683421099343234,0.8674610250355409,0.989602485700234,0.5,0.46644556802201503,Balsas
MC,LCARDENAS,    SEMAR,0.235755973620043,0.36990631959104203,2.4160413548966605e-07,31/05/2019,0.7527763734645921,0.721447234277246,0.670283685373718,0.9171180931744308,0.6804626945151179,0.9156526348762679,0.989669673721751,0.5,0.46644556802201503,Balsas
MC,MMONARCA I,    SMN EMAS,0.358883475388314,0.486930099477896,0.7864217026229989,01/05/2019,0.633332592596708,0.632311240605902,0.6050686569327199,0.17110354434298095,0.248535589610082,0.457832341389364,0.9362551966159608,0.5,0.569187553620354,Balsas
MC,MMONARCA I,    SMN EMAS,0.358883475388314,0.486930099477896,0.7864217026229989,04/05/2019,0.624999305559414,0.610027242188066,0.637676171153219,0.5874477635041021,0.21895154132891506,0.409640731548637,0.935936053513756,0.5,0.771215210191788,Balsas
MC,MMONARCA I,    SMN EMAS,0.358883475388314,0.486930099477896,0.7864217026229989,05/05/2019,0.636110354942473,0.6072417423858361,0.702891199594218,0.6478099365423311,0.22486835098514896,0.385544926628274,0.9358856624976192,0.5,0.814572743793876,Balsas
MC,MMONARCA I,    SMN EMAS,0.358883475388314,0.486930099477896,0.7864217026229989,06/05/2019,0.6111104938305899,0.573815744759082,0.893101699213797,0.8668162823092399,0.198242707532099,0.385544926628274,0.9360032415352728,0.5,0.8178014962961601,Balsas
MC,MMONARCA I,    SMN EMAS,0.358883475388314,0.486930099477896,0.7864217026229989,07/05/2019,0.588888395064472,0.590528743572459,0.885855584942575,0.8923541247484909,0.198242707532099,0.22892219464591199,0.936221602605202,0.5,0.898059058495771,Balsas
