Antena,Fecha,Latitud,Longitud,Codigo,Temp_max_emas,Temp_min_emas,Hidroregion,Topoforma,Temp_max_merra,Temp_min_merra,Differential_max,Differential_min,Temp_mean_merra,Temp_mean_emas,Humedad,Presion_barometrica,Precipitacion,Radiacion_solar,Etiqueta_clase
31056,11/03/19,21.11,-89.45,31056,-99,-99,Yucatan Norte,Llanura,34.87708,23.10922,-99,-99,28.90594,,,,,,0
31056,12/03/19,21.11,-89.45,31056,-99,-99,Yucatan Norte,Llanura,34.54694,23.51721,-99,-99,28.78104,,,,,,0
31056,13/03/19,21.11,-89.45,31056,-99,-99,Yucatan Norte,Llanura,35.07407,23.32373,-99,-99,28.8613,,,,,,0
31056,14/03/19,21.11,-89.45,31056,-99,-99,Yucatan Norte,Llanura,35.80881,23.44443,-99,-99,29.14972,,,,,,0
31057,08/03/19,21.07,-89.52,31057,-99,-99,Yucatan Norte,Llanura,34.04297,20.97882,-99,-99,26.76645,,,,,,0
31057,09/03/19,21.07,-89.52,31057,-99,-99,Yucatan Norte,Llanura,35.42221,21.48254,-99,-99,27.77075,,,,,,0
31057,10/03/19,21.07,-89.52,31057,-99,-99,Yucatan Norte,Llanura,35.37659,22.92807,-99,-99,29.09589,,,,,,0
31057,11/03/19,21.07,-89.52,31057,-99,-99,Yucatan Norte,Llanura,35.25253,23.07123,-99,-99,29.06439,,,,,,0
31057,12/03/19,21.07,-89.52,31057,-99,-99,Yucatan Norte,Llanura,34.92401,23.50803,-99,-99,28.94733,,,,,,0
31057,13/03/19,21.07,-89.52,31057,-99,-99,Yucatan Norte,Llanura,35.45053,23.27765,-99,-99,29.01651,,,,,,0
31057,14/03/19,21.07,-89.52,31057,-99,-99,Yucatan Norte,Llanura,36.22565,23.42151,-99,-99,29.31302,,,,,,0
31058,08/03/19,20.49,-90.08,31058,-99,-99,Yucatan Norte,Llanura,35.5087,21.70392,-99,-99,28.25101,,,,,,0
31058,09/03/19,20.49,-90.08,31058,-99,-99,Yucatan Norte,Llanura,36.47733,22.0563,-99,-99,28.9472,,,,,,0
31058,10/03/19,20.49,-90.08,31058,-99,-99,Yucatan Norte,Llanura,36.71765,23.39365,-99,-99,29.80112,,,,,,0
31058,11/03/19,20.49,-90.08,31058,-99,-99,Yucatan Norte,Llanura,36.27521,23.46124,-99,-99,29.68173,,,,,,0
31058,12/03/19,20.49,-90.08,31058,-99,-99,Yucatan Norte,Llanura,35.90253,24.18979,-99,-99,29.78973,,,,,,0
31058,13/03/19,20.49,-90.08,31058,-99,-99,Yucatan Norte,Llanura,36.69174,23.41885,-99,-99,29.58853,,,,,,0
31058,14/03/19,20.49,-90.08,31058,-99,-99,Yucatan Norte,Llanura,37.67593,24.06299,-99,-99,30.19815,,,,,,0
31059,08/03/19,20.17,-89.24,31059,-99,-99,Yucatan Norte,Llanura,34.75098,20.17026,-99,-99,26.91022,,,,,,0
31059,09/03/19,20.17,-89.24,31059,-99,-99,Yucatan Norte,Llanura,35.6897,20.34506,-99,-99,27.4014,,,,,,0
31059,10/03/19,20.17,-89.24,31059,-99,-99,Yucatan Norte,Llanura,35.75311,22.83487,-99,-99,28.57294,,,,,,0
